price,size,location,total_sqft,price_per_sqft,bhk
1.2 Cr,2 BHK,"Sector 15, Nerul,Navi Mumbai",900 sq.ft,13.33 K/sq.ft,2
53.0 L,1 BHK,"Sector 8, Nerul,Navi Mumbai",400 sq.ft,13.25 K/sq.ft,1
55.0 L,1 BHK,"Sector 15, Nerul,Navi Mumbai",640 sq.ft,8.59 K/sq.ft,1
1.3 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1010 sq.ft,12.87 K/sq.ft,2
75.0 L,1 BHK,"Sector 17, Nerul,Navi Mumbai",649 sq.ft,11.56 K/sq.ft,1
50.0 L,1 BHK,"Sector 15, Nerul,Navi Mumbai",565 sq.ft,8.85 K/sq.ft,1
6.0 Cr,4 BHK,"Sector 28, Nerul,Navi Mumbai",2800 sq.ft,21.43 K/sq.ft,4
85.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",810 sq.ft,10.49 K/sq.ft,1
86.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",655 sq.ft,13.13 K/sq.ft,1
75.0 L,1 BHK,"Sector 21, Nerul,Navi Mumbai",550 sq.ft,13.64 K/sq.ft,1
68.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",585 sq.ft,11.62 K/sq.ft,1
2.6 Cr,6 BHK ,"Sector 23, Nerul,Navi Mumbai",2200 sq.ft,11.82 K/sq.ft,6
8.5 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3850 sq.ft,22.08 K/sq.ft,4
10.5 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3850 sq.ft,27.27 K/sq.ft,4
12.0 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3850 sq.ft,31.17 K/sq.ft,4
65.0 L,1 BHK,"Sector 6, Nerul,Navi Mumbai",650 sq.ft,10.00 K/sq.ft,1
1.62 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1030 sq.ft,15.73 K/sq.ft,2
3.0 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1525 sq.ft,19.67 K/sq.ft,3
4.0 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1850 sq.ft,21.62 K/sq.ft,3
3.0 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1495 sq.ft,20.07 K/sq.ft,3
1.85 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1150 sq.ft,16.09 K/sq.ft,2
60.0 L,0,"Sector 10, Nerul,Navi Mumbai",430 sq.ft,13.95 K/sq.ft,0
2.5 Cr,3 BHK,"Sector 28, Nerul,Navi Mumbai",1650 sq.ft,15.15 K/sq.ft,3
1.65 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1150 sq.ft,14.35 K/sq.ft,2
85.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",600 sq.ft,14.17 K/sq.ft,1
32.3 L,1 BHK,"Sector 21, Nerul,Navi Mumbai",350 sq.ft,9.23 K/sq.ft,1
43.0 L,1 BHK,"Sector 2, Nerul,Navi Mumbai",250 sq.ft,17.20 K/sq.ft,1
89.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",655 sq.ft,13.59 K/sq.ft,1
1.2 Cr,2 BHK,"Sector 20, Nerul,Navi Mumbai",1150 sq.ft,10.43 K/sq.ft,2
1.11 Cr,1 BHK ,"Sector 19A, Nerul,Navi Mumbai",1111 sq.ft,10.00 K/sq.ft,1
